,Country,HDI,female work force,Population Growth Rate (%),Population_Size_2019,Education_2019,Income_2019,Life_Expectancy_2019,Cluster
118,Pakistan,0.557,21.67,2.001,216565317.0,0.402,0.402,0.727,2
119,Palestine,0.708,18.18,2.3930000000000002,4685306.0,0.678,0.678,0.832,0
120,Panama,0.815,54.86,1.624,4246440.0,0.700,0.700,0.900,0
121,Papua New Guinea,0.555,46.42,1.9409999999999998,8776119.0,0.439,0.439,0.685,2
122,Paraguay,0.728,59.98,1.253,7044639.0,0.638,0.638,0.835,0
123,Peru,0.777,70.58,1.5130000000000001,32510462.0,0.740,0.740,0.873,1
124,Philippines,0.718,47.05,1.355,108116622.0,0.678,0.678,0.788,0
125,Poland,0.88,48.6,-0.099,37965475.0,0.869,0.869,0.904,1
126,Portugal,0.8640000000000001,54.72,-0.29100000000000004,10286263.0,0.768,0.768,0.955,1
127,Qatar,0.848,56.64,1.755,2832071.0,0.659,0.659,0.927,0
128,Romania,0.828,45.6,-0.693,19371648.0,0.765,0.765,0.862,0
129,Russia,0.8240000000000001,54.58,0.069,144406261.0,0.823,0.823,0.809,1
130,Rwanda,0.5429999999999999,83.89,2.575,12626938.0,0.458,0.458,0.754,2
131,Saint Lucia,0.759,68.77,0.47600000000000003,182795.0,0.672,0.672,0.865,0
132,Saint Vincent and the Grenadines,0.738,57.01,0.33299999999999996,110593.0,0.684,0.684,0.808,0
133,Samoa,0.715,31.12,0.578,197093.0,0.713,0.713,0.820,0
134,Sao Tome and Principe,0.625,41.64,1.89,215048.0,0.567,0.567,0.775,0
135,Saudi Arabia,0.8540000000000001,22.09,1.6219999999999999,34268529.0,0.789,0.789,0.848,0
136,Senegal,0.512,35.12,2.73,16296362.0,0.345,0.345,0.738,2
137,Serbia,0.8059999999999999,47.92,-0.373,6945235.0,0.783,0.783,0.862,1
138,Sierra Leone,0.452,57.53,2.092,7813207.0,0.406,0.406,0.534,2
139,Singapore,0.938,61.91,0.8,5703569.0,0.844,0.844,0.979,1
140,Slovenia,0.917,53.3,0.026000000000000002,2088385.0,0.910,0.910,0.943,1
141,Solomon Islands,0.5670000000000001,82.11,2.54,669821.0,0.474,0.474,0.815,2
142,South Africa,0.7090000000000001,49.59,1.295,58558267.0,0.724,0.724,0.679,0
143,South Korea,0.9159999999999999,53.77,0.095,51709098.0,0.865,0.865,0.970,1
144,South Sudan,0.433,70.93,0.982,11062114.0,0.307,0.307,0.582,2
145,Spain,0.904,52.16,0.066,47133521.0,0.831,0.831,0.978,1
146,Sri Lanka,0.782,33.55,0.433,21803000.0,0.746,0.746,0.877,0
147,Sudan,0.51,29.36,2.391,42813237.0,0.345,0.345,0.697,2
148,Suriname,0.738,39.44,0.9159999999999999,581363.0,0.675,0.675,0.795,0
149,Sweden,0.945,61.19,0.636,10278887.0,0.918,0.918,0.966,1
150,Switzerland,0.955,62.9,0.7509999999999999,8575280.0,0.900,0.900,0.981,1
151,Syria,0.5670000000000001,14.72,1.6130000000000002,17070132.0,0.416,0.416,0.811,0
152,Tajikistan,0.6679999999999999,29.18,2.344,9321023.0,0.682,0.682,0.786,0
153,Tanzania,0.529,79.69,2.949,58005461.0,0.429,0.429,0.699,2
154,Thailand,0.777,58.79,0.267,69625581.0,0.682,0.682,0.879,0
155,Timor-Leste,0.606,61.89,1.9509999999999998,1293120.0,0.510,0.510,0.762,2
156,Togo,0.515,56.25,2.41,8082359.0,0.517,0.517,0.631,2
157,Tonga,0.725,38.09,1.196,104497.0,0.775,0.775,0.783,0
158,Trinidad and Tobago,0.7959999999999999,50.09,0.34600000000000003,1394969.0,0.728,0.728,0.823,0
159,Tunisia,0.74,24.89,1.084,11694721.0,0.661,0.661,0.872,0
160,Turkey,0.82,34.27,1.199,83429607.0,0.731,0.731,0.888,0
161,Turkmenistan,0.715,44.39,1.517,5942094.0,0.653,0.653,0.741,0
162,Uganda,0.544,66.93,3.406,44269587.0,0.523,0.523,0.667,2
163,Ukraine,0.779,46.87,-0.5820000000000001,44386203.0,0.799,0.799,0.801,0
164,United Arab Emirates,0.89,52.05,1.329,9770526.0,0.802,0.802,0.892,1
165,United Kingdom,0.932,58.09,0.551,66836327.0,0.928,0.928,0.943,1
166,United States,0.9259999999999999,56.76,0.594,328329953.0,0.900,0.900,0.906,1
167,Uruguay,0.8170000000000001,55.46,0.353,3461731.0,0.765,0.765,0.891,1
168,Uzbekistan,0.72,48.84,1.506,33580350.0,0.729,0.729,0.796,0
169,Vanuatu,0.609,60.97,2.414,299882.0,0.561,0.561,0.776,2
170,Venezuela,0.711,41.95,-0.787,28515829.0,0.700,0.700,0.801,0
171,Vietnam,0.7040000000000001,72.73,0.929,96462108.0,0.630,0.630,0.852,0
172,Zambia,0.584,70.4,2.889,17861034.0,0.557,0.557,0.675,2
173,Zimbabwe,0.5710000000000001,78.12,1.4480000000000002,14645473.0,0.587,0.587,0.638,2
